"﻿""id""",comune,provincia,fascia_pop_stimata,cluster,dominio_ipotizzato,dominio_verificato,url_albo,url_delibere,cms,pec,note
46,Certosa di Pavia,PV,S,piccolo,comune.certosadipavia.pv.it,SI,,,halley,,
47,Ronco Briantino,MB,S,piccolo,comune.roncobriantino.mb.it,SI,,https://bernareggio.comune-online.it/web/polizia-locale/polizia-locale,design_italia,,
48,Vigevano,PV,XL,capoluogo,comune.vigevano.pv.it,SI,,,design_italia,,
49,Casorate Primo,PV,M,medio,comune.casorateprimo.pv.it,SI,,,design_italia,,
50,Caponago,MB,S,piccolo,comune.caponago.mb.it,SI,,https://caponago.trasparenza-valutazione-merito.it/web/trasparenza/trasparenza,design_italia,,
51,Mede,PV,S,piccolo,comune.mede.pv.it,SI,,,halley,,
52,Arosio,CO,S,piccolo,comune.arosio.co.it,SI,,https://www.halleyweb.com/c013012/po/po_pr_login.php,halley,,
53,Gravedona ed Uniti,CO,S,lacustre,comune.gravedonaeduniti.co.it,SI,,,design_italia,,
54,Mariano Comense,CO,L,medio,www.comune.marianocomense.co.it,SI,,,generic,,
55,Rovellasca,CO,S,piccolo,comune.rovellasca.co.it,SI,,,design_italia,,
56,Rovello Porro,CO,S,piccolo,comune.rovelloporro.co.it,SI,,http://www.halleyweb.com/c013202/zf/index.php/servizi-aggiuntivi/index/index/idtesto/20335,design_italia,,
57,Cernobbio,CO,S,lacustre,comune.cernobbio.co.it,SI,,,halley,,
58,Menaggio,CO,S,lacustre,comune.menaggio.co.it,SI,,,design_italia,,
59,Civate,LC,S,piccolo,comune.civate.lc.it,SI,,https://www.halleyweb.com/c097022/zf/index.php/servizi-aggiuntivi/index/index/idtesto/20692|https://www.halleyweb.com/c097022/zf/index.php/servizi-aggiuntivi/index/index/idtesto/20380,halley,,
60,Bulciago,LC,S,piccolo,comune.bulciago.lc.it,SI,,,design_italia,,
61,Dervio,LC,XS,lacustre,comune.dervio.lc.it,SI,,https://dervio.trasparenza-valutazione-merito.it/web/trasparenza/trasparenza,design_italia,,
62,Primaluna,LC,XS,piccolo,comune.primaluna.lc.it,SI,,,urbi_padigitale,,
63,Calolziocorte,LC,M,medio,comune.calolziocorte.lc.it,SI,,https://comune.calolziocorte.lc.it/Amministrazione-Trasparente/Disposizioni-generali/Atti-generali/Atti-amministrativi-generali|https://comune.calolziocorte.lc.it/Amministrazione-Trasparente/Bandi-di-gara-e-contratti/Delibera-a-contrarre2|https://comune.calolziocorte.lc.it/Amministrazione-Trasparente/Bandi-di-gara-e-contratti/Avviso-sui-risultati-della-procedura-di-affidamento-diretto-ove-la-determina-a-contrarre-o-atto-equivalente-sia-adottato-entro-il-30.6.2023|https://comune.calolziocorte.lc.it/Amministrazione-Trasparente/Bandi-di-gara-e-contratti/Avviso-di-avvio-della-procedura-e-avviso-sui-risultati-della-aggiudicazione-di-procedure-negoziate-senza-bando-ove-la-determina-a-contrarre-o-atto-equivalente-sia-adottato-entro-il-30.6.2023|https://comune.calolziocorte.lc.it/Amministrazione-Trasparente/Provvedimenti/Provvedimenti-dirigenti|https://comune.calolziocorte.lc.it/Amministrazione-Trasparente/Provvedimenti,urbi_padigitale,,
64,Cardano al Campo,VA,M,medio,comune.cardanoalcampo.va.it,SI,https://comune.cardanoalcampo.va.it/costituzione-e-tenuta-albo-comunale-degli-avvocati/,https://comune.cardanoalcampo.va.it/costituzione-e-tenuta-albo-comunale-degli-avvocati/,design_italia,,
65,Somma Lombardo,VA,M,medio,comune.sommalombardo.va.it,SI,,,design_italia,,
66,Caronno Pertusella,VA,M,medio,www.comune.caronnopertusella.va.it,SI,https://caronnopertusella.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio,https://caronnopertusella.trasparenza-valutazione-merito.it/web/trasparenza/trasparenza|http://caronnopertusella.trasparenza-valutazione-merito.it/web/trasparenza/trasparenza|https://caronnopertusella.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio|http://caronnopertusella.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio,design_italia,,
67,Arcisate,VA,M,medio,comune.arcisate.va.it,SI,,https://hosting.pa-online.it/012004/su_ambito/sue/,urbi_padigitale,,
68,Origgio,VA,S,piccolo,comune.origgio.va.it,SI,,https://www.pa-online.it/GisMasterWebS/PU/PU_R.aspx?IdEnte=012109&IdPU=Deter&IdPage=PubblDeter|https://www.pa-online.it/GisMasterWebS/PU/PU_R.aspx?IdEnte=012109&IdPU=SovvContr&IdPage=PubblSovvContr|https://www.pa-online.it/GisMasterWebS/PU/PU_R.aspx?IdEnte=012109&IdPU=BanGar&IdPage=PubblBanGar|https://www.pa-online.it/GisMasterWebS/PU/PU_R.aspx?IdEnte=012109&IdPU=Delib&IdPage=PubblDelib|https://www.pa-online.it/GisMasterWebS/PU/PU_R.aspx?IdEnte=012109&IdPU=Ordin&IdPage=PubblOrdin|https://www.pa-online.it/GisMasterWebS/PU/PU_R.aspx?IdEnte=012109&IdPU=AlbPre&IdPage=PubblAlbPre,design_italia,,
69,Saronno,VA,L,medio,comune.saronno.va.it,SI,,,design_italia,,ANALISI FATTURE CONCESSIONE GIA SVOLTA
70,Gallarate,VA,XL,capoluogo,comune.gallarate.va.it,SI,https://comune.gallarate.va.it/albo-pretorio/,https://comune.gallarate.va.it/albo-pretorio/,design_italia,,
71,Venegono Inferiore,VA,S,piccolo,comune.venegonoinferiore.va.it,SI,,,design_italia,,
72,Gorla Maggiore,VA,S,piccolo,comune.gorlamaggiore.va.it,SI,,https://comune.gorlamaggiore.va.it/Menu?IDDettaglio=314115|https://comune.gorlamaggiore.va.it/Home/Bandigare|https://comune.gorlamaggiore.va.it/Menu?IDDettaglio=314013,design_italia,,
73,Mornago,VA,S,piccolo,comune.mornago.va.it,SI,,,design_italia,,
